;;DML;STOCK DE REPUESTOS GENERAL ;;;;FALTA;;;
;;Ubicación;Stock de Servicio Técnico al 11/12/2025;;;;QUEDA 1;;;
;;;;;;;;;;
;;Stock;;;;;;;;
;;;ITEM;TOTAL;UBICACIÓN ACTUAL;;;;CODIGO DE UBICACIÓN;X SIGNIFICA - ULTIMA CARGA GENERAL DE STOCK 26-06-2025
;Tipo Maquina;CODIGO;;;Estante;Fila;Posición;Box;;
106;Bateria;D000280;REAR GUIDESTRAP SPRING;17;2 ;5 ;A ;3;E02 -F05 -PA -B03;X
107;Bateria;D000330;FREEWHELL SUPPORT;6;2 ;3 ;A ;4;E02 -F03 -PA -B04;1 PEDIDO POR DANIELA 21/10/2025
108;Bateria;D000390;LOCKING COVER;4;3 ;2 ;B ;1;E03 -F02 -PB -B01;X
109;Bateria;D000400;GEAR;4;3 ;4 ;A ;2;E03 -F04 -PA -B02;
110;Bateria;D000430;EPICICLOIDAL GEARBOX;3;5 ;6 ;;1;E05 -F06 -B01;X
111;Bateria;D000620;MEDIUM SPRING (ITA 10);11;2 ;5 ;B ;1;E02 -F05 -PB -B01;X
112;Bateria;D000670;VALVE SPRING (ITA 40);1;1 ;4 ;A ;3;E01 -F04 -PA -B03;
113;Bateria;D000780;LOCKING STRAP PLATE (ITA 10/12);3;1 ;3 ;B ;1;E01 -F03 -PB -B01;
114;Bateria;D001140;TENSION SPRING BE.C;6;2 ;5 ;A ;1;E02 -F05 -PA -B01;3 PEDIDOS POR DANIELA EL 21/10/2025 - 3 pedido por Daniela 2/5/2025
115;Bateria;D001250;WELDING FOOT (ITA 10/12);3;2 ;1 ;A ;1;E02 -F01 -PA -B01;X
116;Bateria;D001260;CUTTER (ITA 10/12);2;1 ;4 ;A ;4;E01 -F04 -PA -B04;X
117;Bateria;D001420;SPECIAL M3 SCREW;3;2 ;7 ;B ;4;E02 -F07 -PB -B04;3 PEDIDOS POR DANIELA EL 21/10/2025
118;Bateria;D001600;PISTON (ITA 12);1;4 ;1 ;;3;E04 -F01 -B03;
119;Bateria;D001630;CONNECTING ROD (ITA 10/12);2;1 ;2 ;A ;1;E01 -F02 -PA -B01;X
120;Bateria;D001650;WELDING FOOT PIN .;3;1 ;1 ;B ;2;E01 -F01 -PB -B02;X
121;Bateria;D001670;OPENING LEVER;1;4 ;2 ;;4;E04 -F02 -B04;
